DateTime,MW,Capacity,Time_sin,Time_cos,Day_sin,Day_cos
2013-01-01 08:00:00,0.0,1600.08,0.87,-0.5,0.02,1.0
2013-01-01 09:00:00,1.33,1600.08,0.71,-0.71,0.02,1.0
2013-01-01 10:00:00,23.55,1600.08,0.5,-0.87,0.02,1.0
2013-01-01 11:00:00,38.13,1600.08,0.26,-0.97,0.02,1.0
2013-01-01 12:00:00,73.6,1600.08,0.0,-1.0,0.02,1.0
2013-01-01 13:00:00,106.28,1600.08,-0.26,-0.97,0.02,1.0
2013-01-01 14:00:00,128.93,1600.08,-0.5,-0.87,0.02,1.0
2013-01-01 15:00:00,128.07,1600.08,-0.71,-0.71,0.02,1.0
2013-01-01 16:00:00,21.33,1600.08,-0.87,-0.5,0.02,1.0
2013-01-01 17:00:00,0.0,1600.08,-0.97,-0.26,0.02,1.0
2013-01-02 08:00:00,0.16,1600.08,0.87,-0.5,0.03,1.0
2013-01-02 09:00:00,8.41,1600.08,0.71,-0.71,0.03,1.0
2013-01-02 10:00:00,28.19,1600.08,0.5,-0.87,0.03,1.0
2013-01-02 11:00:00,84.1,1600.08,0.26,-0.97,0.03,1.0
2013-01-02 12:00:00,74.21,1600.08,0.0,-1.0,0.03,1.0
2013-01-02 13:00:00,58.94,1600.08,-0.26,-0.97,0.03,1.0
2013-01-02 14:00:00,86.12,1600.08,-0.5,-0.87,0.03,1.0
2013-01-02 15:00:00,48.74,1600.08,-0.71,-0.71,0.03,1.0
2013-01-02 16:00:00,26.35,1600.08,-0.87,-0.5,0.03,1.0
2013-01-02 17:00:00,1.24,1600.08,-0.97,-0.26,0.03,1.0
2013-01-03 08:00:00,27.31,1600.08,0.87,-0.5,0.05,1.0
2013-01-03 09:00:00,84.65,1600.08,0.71,-0.71,0.05,1.0
2013-01-03 10:00:00,135.42,1600.08,0.5,-0.87,0.05,1.0
2013-01-03 11:00:00,184.41,1600.08,0.26,-0.97,0.05,1.0
2013-01-03 12:00:00,197.31,1600.08,0.0,-1.0,0.05,1.0
2013-01-03 13:00:00,160.21,1600.08,-0.26,-0.97,0.05,1.0
2013-01-03 14:00:00,128.56,1600.08,-0.5,-0.87,0.05,1.0
2013-01-03 15:00:00,93.55,1600.08,-0.71,-0.71,0.05,1.0
2013-01-03 16:00:00,66.22,1600.08,-0.87,-0.5,0.05,1.0
2013-01-03 17:00:00,25.36,1600.08,-0.97,-0.26,0.05,1.0
2013-01-04 08:00:00,147.61,1656.88,0.87,-0.5,0.07,1.0
2013-01-04 09:00:00,414.38,1656.88,0.71,-0.71,0.07,1.0
2013-01-04 10:00:00,703.39,1656.88,0.5,-0.87,0.07,1.0
2013-01-04 11:00:00,987.17,1656.88,0.26,-0.97,0.07,1.0
2013-01-04 12:00:00,1212.77,1656.88,0.0,-1.0,0.07,1.0
2013-01-04 13:00:00,1295.33,1656.88,-0.26,-0.97,0.07,1.0
2013-01-04 14:00:00,1248.71,1656.88,-0.5,-0.87,0.07,1.0
2013-01-04 15:00:00,1118.71,1656.88,-0.71,-0.71,0.07,1.0
2013-01-04 16:00:00,943.54,1656.88,-0.87,-0.5,0.07,1.0
2013-01-04 17:00:00,671.08,1656.88,-0.97,-0.26,0.07,1.0
2013-01-05 08:00:00,313.34,1656.88,0.87,-0.5,0.09,1.0
2013-01-05 09:00:00,657.49,1656.88,0.71,-0.71,0.09,1.0
2013-01-05 10:00:00,962.51,1656.88,0.5,-0.87,0.09,1.0
2013-01-05 11:00:00,1179.27,1656.88,0.26,-0.97,0.09,1.0
2013-01-05 12:00:00,1292.51,1656.88,0.0,-1.0,0.09,1.0
2013-01-05 13:00:00,1301.16,1656.88,-0.26,-0.97,0.09,1.0
2013-01-05 14:00:00,1173.38,1656.88,-0.5,-0.87,0.09,1.0
2013-01-05 15:00:00,1019.85,1656.88,-0.71,-0.71,0.09,1.0
2013-01-05 16:00:00,802.86,1656.88,-0.87,-0.5,0.09,1.0
2013-01-05 17:00:00,451.86,1656.88,-0.97,-0.26,0.09,1.0
2013-01-06 08:00:00,98.25,1656.88,0.87,-0.5,0.1,0.99
2013-01-06 09:00:00,195.1,1656.88,0.71,-0.71,0.1,0.99
2013-01-06 10:00:00,295.01,1656.88,0.5,-0.87,0.1,0.99
2013-01-06 11:00:00,329.85,1656.88,0.26,-0.97,0.1,0.99
2013-01-06 12:00:00,384.15,1656.88,0.0,-1.0,0.1,0.99
2013-01-06 13:00:00,422.49,1656.88,-0.26,-0.97,0.1,0.99
2013-01-06 14:00:00,600.74,1656.88,-0.5,-0.87,0.1,0.99
2013-01-06 15:00:00,978.47,1656.88,-0.71,-0.71,0.1,0.99
2013-01-06 16:00:00,1025.47,1656.88,-0.87,-0.5,0.1,0.99
2013-01-06 17:00:00,719.26,1656.88,-0.97,-0.26,0.1,0.99
2013-01-07 08:00:00,117.23,1656.88,0.87,-0.5,0.12,0.99
2013-01-07 09:00:00,159.16,1656.88,0.71,-0.71,0.12,0.99
2013-01-07 10:00:00,254.05,1656.88,0.5,-0.87,0.12,0.99
2013-01-07 11:00:00,403.71,1656.88,0.26,-0.97,0.12,0.99
2013-01-07 12:00:00,581.62,1656.88,0.0,-1.0,0.12,0.99
2013-01-07 13:00:00,904.63,1656.88,-0.26,-0.97,0.12,0.99
2013-01-07 14:00:00,1094.68,1656.88,-0.5,-0.87,0.12,0.99
2013-01-07 15:00:00,988.13,1656.88,-0.71,-0.71,0.12,0.99
2013-01-07 16:00:00,704.19,1656.88,-0.87,-0.5,0.12,0.99
2013-01-07 17:00:00,554.29,1656.88,-0.97,-0.26,0.12,0.99
2013-01-08 08:00:00,337.08,1656.88,0.87,-0.5,0.14,0.99
2013-01-08 09:00:00,620.22,1656.88,0.71,-0.71,0.14,0.99
2013-01-08 10:00:00,879.1,1656.88,0.5,-0.87,0.14,0.99
2013-01-08 11:00:00,1075.61,1656.88,0.26,-0.97,0.14,0.99
2013-01-08 12:00:00,1192.11,1656.88,0.0,-1.0,0.14,0.99
2013-01-08 13:00:00,1238.98,1656.88,-0.26,-0.97,0.14,0.99
2013-01-08 14:00:00,1229.18,1656.88,-0.5,-0.87,0.14,0.99
2013-01-08 15:00:00,1156.18,1656.88,-0.71,-0.71,0.14,0.99
2013-01-08 16:00:00,1017.67,1656.88,-0.87,-0.5,0.14,0.99
2013-01-08 17:00:00,812.49,1656.88,-0.97,-0.26,0.14,0.99
2013-01-09 08:00:00,188.32,1656.88,0.87,-0.5,0.15,0.99
2013-01-09 09:00:00,373.18,1656.88,0.71,-0.71,0.15,0.99
2013-01-09 10:00:00,617.06,1656.88,0.5,-0.87,0.15,0.99
2013-01-09 11:00:00,825.4,1656.88,0.26,-0.97,0.15,0.99
2013-01-09 12:00:00,877.08,1656.88,0.0,-1.0,0.15,0.99
2013-01-09 13:00:00,726.59,1656.88,-0.26,-0.97,0.15,0.99
2013-01-09 14:00:00,715.76,1656.88,-0.5,-0.87,0.15,0.99
2013-01-09 15:00:00,584.54,1656.88,-0.71,-0.71,0.15,0.99
2013-01-09 16:00:00,446.87,1656.88,-0.87,-0.5,0.15,0.99
2013-01-09 17:00:00,393.84,1656.88,-0.97,-0.26,0.15,0.99
2013-01-10 08:00:00,30.08,1656.88,0.87,-0.5,0.17,0.99
2013-01-10 09:00:00,179.25,1656.88,0.71,-0.71,0.17,0.99
2013-01-10 10:00:00,434.29,1656.88,0.5,-0.87,0.17,0.99
2013-01-10 11:00:00,772.62,1656.88,0.26,-0.97,0.17,0.99
2013-01-10 12:00:00,1071.21,1656.88,0.0,-1.0,0.17,0.99
2013-01-10 13:00:00,1130.41,1656.88,-0.26,-0.97,0.17,0.99
2013-01-10 14:00:00,1086.09,1656.88,-0.5,-0.87,0.17,0.99
2013-01-10 15:00:00,937.28,1656.88,-0.71,-0.71,0.17,0.99
2013-01-10 16:00:00,695.68,1656.88,-0.87,-0.5,0.17,0.99
2013-01-10 17:00:00,373.1,1656.88,-0.97,-0.26,0.17,0.99
2013-01-11 08:00:00,16.32,1656.88,0.87,-0.5,0.19,0.98
2013-01-11 09:00:00,59.43,1656.88,0.71,-0.71,0.19,0.98
2013-01-11 10:00:00,126.85,1656.88,0.5,-0.87,0.19,0.98
2013-01-11 11:00:00,245.69,1656.88,0.26,-0.97,0.19,0.98
2013-01-11 12:00:00,360.21,1656.88,0.0,-1.0,0.19,0.98
2013-01-11 13:00:00,285.26,1656.88,-0.26,-0.97,0.19,0.98
2013-01-11 14:00:00,225.33,1656.88,-0.5,-0.87,0.19,0.98
2013-01-11 15:00:00,128.01,1656.88,-0.71,-0.71,0.19,0.98
2013-01-11 16:00:00,28.75,1656.88,-0.87,-0.5,0.19,0.98
2013-01-11 17:00:00,0.18,1656.88,-0.97,-0.26,0.19,0.98
2013-01-12 08:00:00,2.15,1656.88,0.87,-0.5,0.21,0.98
2013-01-12 09:00:00,24.19,1656.88,0.71,-0.71,0.21,0.98
2013-01-12 10:00:00,121.11,1656.88,0.5,-0.87,0.21,0.98
2013-01-12 11:00:00,253.06,1656.88,0.26,-0.97,0.21,0.98
2013-01-12 12:00:00,413.44,1656.88,0.0,-1.0,0.21,0.98
2013-01-12 13:00:00,387.11,1656.88,-0.26,-0.97,0.21,0.98
2013-01-12 14:00:00,239.9,1656.88,-0.5,-0.87,0.21,0.98
2013-01-12 15:00:00,117.11,1656.88,-0.71,-0.71,0.21,0.98
2013-01-12 16:00:00,12.94,1656.88,-0.87,-0.5,0.21,0.98
2013-01-12 17:00:00,0.0,1656.88,-0.97,-0.26,0.21,0.98
2013-01-13 08:00:00,0.01,1600.08,0.87,-0.5,0.22,0.98
2013-01-13 09:00:00,23.62,1600.08,0.71,-0.71,0.22,0.98
2013-01-13 10:00:00,99.93,1600.08,0.5,-0.87,0.22,0.98
2013-01-13 11:00:00,290.51,1600.08,0.26,-0.97,0.22,0.98
2013-01-13 12:00:00,510.35,1600.08,0.0,-1.0,0.22,0.98
2013-01-13 13:00:00,512.49,1600.08,-0.26,-0.97,0.22,0.98
2013-01-13 14:00:00,360.57,1600.08,-0.5,-0.87,0.22,0.98
2013-01-13 15:00:00,201.2,1600.08,-0.71,-0.71,0.22,0.98
2013-01-13 16:00:00,48.89,1600.08,-0.87,-0.5,0.22,0.98
2013-01-13 17:00:00,0.0,1600.08,-0.97,-0.26,0.22,0.98
2013-01-14 08:00:00,0.02,1600.08,0.87,-0.5,0.24,0.97
2013-01-14 09:00:00,15.7,1600.08,0.71,-0.71,0.24,0.97
2013-01-14 10:00:00,73.59,1600.08,0.5,-0.87,0.24,0.97
2013-01-14 11:00:00,175.45,1600.08,0.26,-0.97,0.24,0.97
2013-01-14 12:00:00,209.9,1600.08,0.0,-1.0,0.24,0.97
2013-01-14 13:00:00,169.95,1600.08,-0.26,-0.97,0.24,0.97
2013-01-14 14:00:00,159.67,1600.08,-0.5,-0.87,0.24,0.97
2013-01-14 15:00:00,127.91,1600.08,-0.71,-0.71,0.24,0.97
2013-01-14 16:00:00,38.86,1600.08,-0.87,-0.5,0.24,0.97
2013-01-14 17:00:00,0.0,1600.08,-0.97,-0.26,0.24,0.97
2013-01-15 08:00:00,0.0,1600.08,0.87,-0.5,0.26,0.97
2013-01-15 09:00:00,11.82,1600.08,0.71,-0.71,0.26,0.97
2013-01-15 10:00:00,41.38,1600.08,0.5,-0.87,0.26,0.97
2013-01-15 11:00:00,68.66,1600.08,0.26,-0.97,0.26,0.97
2013-01-15 12:00:00,64.67,1600.08,0.0,-1.0,0.26,0.97
2013-01-15 13:00:00,64.32,1600.08,-0.26,-0.97,0.26,0.97
2013-01-15 14:00:00,35.01,1600.08,-0.5,-0.87,0.26,0.97
2013-01-15 15:00:00,12.21,1600.08,-0.71,-0.71,0.26,0.97
2013-01-15 16:00:00,1.3,1600.08,-0.87,-0.5,0.26,0.97
2013-01-15 17:00:00,0.01,1600.08,-0.97,-0.26,0.26,0.97
2013-01-16 08:00:00,0.01,1600.08,0.87,-0.5,0.27,0.96
2013-01-16 09:00:00,2.23,1600.08,0.71,-0.71,0.27,0.96
2013-01-16 10:00:00,11.26,1600.08,0.5,-0.87,0.27,0.96
2013-01-16 11:00:00,24.25,1600.08,0.26,-0.97,0.27,0.96
2013-01-16 12:00:00,34.18,1600.08,0.0,-1.0,0.27,0.96
2013-01-16 13:00:00,36.39,1600.08,-0.26,-0.97,0.27,0.96
2013-01-16 14:00:00,32.12,1600.08,-0.5,-0.87,0.27,0.96
2013-01-16 15:00:00,18.78,1600.08,-0.71,-0.71,0.27,0.96
2013-01-16 16:00:00,4.54,1600.08,-0.87,-0.5,0.27,0.96
2013-01-16 17:00:00,0.04,1600.08,-0.97,-0.26,0.27,0.96
2013-01-17 08:00:00,0.0,1600.08,0.87,-0.5,0.29,0.96
2013-01-17 09:00:00,1.23,1600.08,0.71,-0.71,0.29,0.96
2013-01-17 10:00:00,5.05,1600.08,0.5,-0.87,0.29,0.96
2013-01-17 11:00:00,10.11,1600.08,0.26,-0.97,0.29,0.96
2013-01-17 12:00:00,15.15,1600.08,0.0,-1.0,0.29,0.96
2013-01-17 13:00:00,17.36,1600.08,-0.26,-0.97,0.29,0.96
2013-01-17 14:00:00,11.78,1600.08,-0.5,-0.87,0.29,0.96
2013-01-17 15:00:00,5.91,1600.08,-0.71,-0.71,0.29,0.96
2013-01-17 16:00:00,1.42,1600.08,-0.87,-0.5,0.29,0.96
2013-01-17 17:00:00,0.02,1600.08,-0.97,-0.26,0.29,0.96
2013-01-18 08:00:00,0.0,1600.08,0.87,-0.5,0.3,0.95
2013-01-18 09:00:00,1.34,1600.08,0.71,-0.71,0.3,0.95
2013-01-18 10:00:00,6.73,1600.08,0.5,-0.87,0.3,0.95
2013-01-18 11:00:00,15.94,1600.08,0.26,-0.97,0.3,0.95
2013-01-18 12:00:00,41.28,1600.08,0.0,-1.0,0.3,0.95
2013-01-18 13:00:00,57.36,1600.08,-0.26,-0.97,0.3,0.95
2013-01-18 14:00:00,39.79,1600.08,-0.5,-0.87,0.3,0.95
2013-01-18 15:00:00,16.24,1600.08,-0.71,-0.71,0.3,0.95
2013-01-18 16:00:00,5.74,1600.08,-0.87,-0.5,0.3,0.95
2013-01-18 17:00:00,0.02,1600.08,-0.97,-0.26,0.3,0.95
2013-01-19 08:00:00,0.04,1600.08,0.87,-0.5,0.32,0.95
2013-01-19 09:00:00,5.1,1600.08,0.71,-0.71,0.32,0.95
2013-01-19 10:00:00,22.28,1600.08,0.5,-0.87,0.32,0.95
2013-01-19 11:00:00,35.43,1600.08,0.26,-0.97,0.32,0.95
2013-01-19 12:00:00,44.93,1600.08,0.0,-1.0,0.32,0.95
2013-01-19 13:00:00,38.47,1600.08,-0.26,-0.97,0.32,0.95
2013-01-19 14:00:00,30.88,1600.08,-0.5,-0.87,0.32,0.95
2013-01-19 15:00:00,18.08,1600.08,-0.71,-0.71,0.32,0.95
2013-01-19 16:00:00,3.99,1600.08,-0.87,-0.5,0.32,0.95
2013-01-19 17:00:00,0.01,1600.08,-0.97,-0.26,0.32,0.95
2013-01-20 08:00:00,0.03,1600.08,0.87,-0.5,0.34,0.94
2013-01-20 09:00:00,2.73,1600.08,0.71,-0.71,0.34,0.94
2013-01-20 10:00:00,13.38,1600.08,0.5,-0.87,0.34,0.94
2013-01-20 11:00:00,30.08,1600.08,0.26,-0.97,0.34,0.94
2013-01-20 12:00:00,37.36,1600.08,0.0,-1.0,0.34,0.94
2013-01-20 13:00:00,29.61,1600.08,-0.26,-0.97,0.34,0.94
2013-01-20 14:00:00,20.37,1600.08,-0.5,-0.87,0.34,0.94
2013-01-20 15:00:00,7.97,1600.08,-0.71,-0.71,0.34,0.94
2013-01-20 16:00:00,3.45,1600.08,-0.87,-0.5,0.34,0.94
2013-01-20 17:00:00,0.04,1600.08,-0.97,-0.26,0.34,0.94
2013-01-21 08:00:00,0.02,1600.08,0.87,-0.5,0.35,0.94
2013-01-21 09:00:00,2.28,1600.08,0.71,-0.71,0.35,0.94
2013-01-21 10:00:00,9.94,1600.08,0.5,-0.87,0.35,0.94
2013-01-21 11:00:00,18.6,1600.08,0.26,-0.97,0.35,0.94
2013-01-21 12:00:00,23.45,1600.08,0.0,-1.0,0.35,0.94
2013-01-21 13:00:00,22.91,1600.08,-0.26,-0.97,0.35,0.94
2013-01-21 14:00:00,22.42,1600.08,-0.5,-0.87,0.35,0.94
2013-01-21 15:00:00,15.09,1600.08,-0.71,-0.71,0.35,0.94
2013-01-21 16:00:00,4.03,1600.08,-0.87,-0.5,0.35,0.94
2013-01-21 17:00:00,0.04,1600.08,-0.97,-0.26,0.35,0.94
2013-01-22 08:00:00,0.16,1600.08,0.87,-0.5,0.37,0.93
2013-01-22 09:00:00,8.55,1600.08,0.71,-0.71,0.37,0.93
2013-01-22 10:00:00,30.25,1600.08,0.5,-0.87,0.37,0.93
2013-01-22 11:00:00,73.87,1600.08,0.26,-0.97,0.37,0.93
2013-01-22 12:00:00,137.38,1600.08,0.0,-1.0,0.37,0.93
2013-01-22 13:00:00,199.74,1600.08,-0.26,-0.97,0.37,0.93
2013-01-22 14:00:00,231.26,1600.08,-0.5,-0.87,0.37,0.93
2013-01-22 15:00:00,163.05,1600.08,-0.71,-0.71,0.37,0.93
2013-01-22 16:00:00,55.05,1600.08,-0.87,-0.5,0.37,0.93
2013-01-22 17:00:00,1.99,1600.08,-0.97,-0.26,0.37,0.93
2013-01-23 08:00:00,0.27,1600.08,0.87,-0.5,0.39,0.92
2013-01-23 09:00:00,22.5,1600.08,0.71,-0.71,0.39,0.92
2013-01-23 10:00:00,93.52,1600.08,0.5,-0.87,0.39,0.92
2013-01-23 11:00:00,195.34,1600.08,0.26,-0.97,0.39,0.92
2013-01-23 12:00:00,238.07,1600.08,0.0,-1.0,0.39,0.92
2013-01-23 13:00:00,240.15,1600.08,-0.26,-0.97,0.39,0.92
2013-01-23 14:00:00,243.93,1600.08,-0.5,-0.87,0.39,0.92
2013-01-23 15:00:00,167.18,1600.08,-0.71,-0.71,0.39,0.92
2013-01-23 16:00:00,42.43,1600.08,-0.87,-0.5,0.39,0.92
2013-01-23 17:00:00,0.88,1600.08,-0.97,-0.26,0.39,0.92
2013-01-24 08:00:00,1.47,1600.08,0.87,-0.5,0.4,0.92
2013-01-24 09:00:00,48.23,1600.08,0.71,-0.71,0.4,0.92
2013-01-24 10:00:00,119.55,1600.08,0.5,-0.87,0.4,0.92
2013-01-24 11:00:00,139.33,1600.08,0.26,-0.97,0.4,0.92
2013-01-24 12:00:00,126.84,1600.08,0.0,-1.0,0.4,0.92
2013-01-24 13:00:00,121.03,1600.08,-0.26,-0.97,0.4,0.92
2013-01-24 14:00:00,97.33,1600.08,-0.5,-0.87,0.4,0.92
2013-01-24 15:00:00,56.04,1600.08,-0.71,-0.71,0.4,0.92
2013-01-24 16:00:00,22.21,1600.08,-0.87,-0.5,0.4,0.92
2013-01-24 17:00:00,0.79,1600.08,-0.97,-0.26,0.4,0.92
2013-01-25 08:00:00,0.07,1600.08,0.87,-0.5,0.42,0.91
2013-01-25 09:00:00,10.53,1600.08,0.71,-0.71,0.42,0.91
2013-01-25 10:00:00,44.33,1600.08,0.5,-0.87,0.42,0.91
2013-01-25 11:00:00,98.83,1600.08,0.26,-0.97,0.42,0.91
2013-01-25 12:00:00,107.02,1600.08,0.0,-1.0,0.42,0.91
2013-01-25 13:00:00,101.49,1600.08,-0.26,-0.97,0.42,0.91
2013-01-25 14:00:00,66.68,1600.08,-0.5,-0.87,0.42,0.91
2013-01-25 15:00:00,38.02,1600.08,-0.71,-0.71,0.42,0.91
