DateTime,Real_Time_Measurement_MW,Monitored_Capacity_MWp
2013-01-01 08:00:00,0.0,400.02
2013-01-01 08:15:00,0.0,400.02
2013-01-01 08:30:00,0.0,400.02
2013-01-01 08:45:00,0.0,400.02
2013-01-01 09:00:00,0.0,400.02
2013-01-01 09:15:00,0.04,400.02
2013-01-01 09:30:00,0.28,400.02
2013-01-01 09:45:00,1.01,400.02
2013-01-01 10:00:00,2.43,400.02
2013-01-01 10:15:00,4.78,400.02
2013-01-01 10:30:00,7.36,400.02
2013-01-01 10:45:00,8.98,400.02
2013-01-01 11:00:00,9.05,400.02
2013-01-01 11:15:00,9.02,400.02
2013-01-01 11:30:00,8.67,400.02
2013-01-01 11:45:00,11.39,400.02
2013-01-01 12:00:00,16.36,400.02
2013-01-01 12:15:00,19.38,400.02
2013-01-01 12:30:00,18.4,400.02
2013-01-01 12:45:00,19.46,400.02
2013-01-01 13:00:00,23.26,400.02
2013-01-01 13:15:00,26.47,400.02
2013-01-01 13:30:00,28.46,400.02
2013-01-01 13:45:00,28.09,400.02
2013-01-01 14:00:00,29.04,400.02
2013-01-01 14:15:00,26.63,400.02
2013-01-01 14:30:00,31.66,400.02
2013-01-01 14:45:00,41.6,400.02
2013-01-01 15:00:00,42.78,400.02
2013-01-01 15:15:00,39.15,400.02
2013-01-01 15:30:00,27.54,400.02
2013-01-01 15:45:00,18.6,400.02
2013-01-01 16:00:00,11.58,400.02
2013-01-01 16:15:00,6.8,400.02
2013-01-01 16:30:00,2.92,400.02
2013-01-01 16:45:00,0.03,400.02
2013-01-01 17:00:00,0.0,400.02
2013-01-01 17:15:00,0.0,400.02
2013-01-01 17:30:00,0.0,400.02
2013-01-01 17:45:00,0.0,400.02
2013-01-02 08:00:00,0.0,400.02
2013-01-02 08:15:00,0.0,400.02
2013-01-02 08:30:00,0.0,400.02
2013-01-02 08:45:00,0.0,400.02
2013-01-02 09:00:00,0.48,400.02
2013-01-02 09:15:00,2.55,400.02
2013-01-02 09:30:00,6.24,400.02
2013-01-02 09:45:00,12.2,400.02
2013-01-02 10:00:00,19.51,400.02
2013-01-02 10:15:00,27.1,400.02
2013-01-02 10:30:00,33.67,400.02
2013-01-02 10:45:00,39.63,400.02
2013-01-02 11:00:00,49.19,400.02
2013-01-02 11:15:00,57.38,400.02
2013-01-02 11:30:00,70.83,400.02
2013-01-02 11:45:00,88.8,400.02
2013-01-02 12:00:00,100.72,400.02
2013-01-02 12:15:00,108.42,400.02
2013-01-02 12:30:00,109.14,400.02
2013-01-02 12:45:00,93.41,400.02
2013-01-02 13:00:00,84.35,400.02
2013-01-02 13:15:00,75.38,400.02
2013-01-02 13:30:00,67.51,400.02
2013-01-02 13:45:00,67.68,400.02
2013-01-02 14:00:00,60.0,400.02
2013-01-02 14:15:00,54.31,400.02
2013-01-02 14:30:00,46.92,400.02
2013-01-02 14:45:00,38.5,400.02
2013-01-02 15:00:00,35.37,400.02
2013-01-02 15:15:00,26.14,400.02
2013-01-02 15:30:00,17.79,400.02
2013-01-02 15:45:00,10.52,400.02
2013-01-02 16:00:00,7.25,400.02
2013-01-02 16:15:00,4.47,400.02
2013-01-02 16:30:00,1.49,400.02
2013-01-02 16:45:00,0.01,400.02
2013-01-02 17:00:00,0.0,400.02
2013-01-02 17:15:00,0.0,400.02
2013-01-02 17:30:00,0.0,400.02
2013-01-02 17:45:00,0.0,400.02
2013-01-03 08:00:00,0.0,400.02
2013-01-03 08:15:00,0.0,400.02
2013-01-03 08:30:00,0.0,400.02
2013-01-03 08:45:00,0.0,400.02
2013-01-03 09:00:00,0.1,400.02
2013-01-03 09:15:00,0.56,400.02
2013-01-03 09:30:00,2.03,400.02
2013-01-03 09:45:00,5.15,400.02
2013-01-03 10:00:00,7.23,400.02
2013-01-03 10:15:00,8.3,400.02
2013-01-03 10:30:00,8.74,400.02
2013-01-03 10:45:00,9.04,400.02
2013-01-03 11:00:00,9.23,400.02
2013-01-03 11:15:00,10.18,400.02
2013-01-03 11:30:00,11.75,400.02
2013-01-03 11:45:00,13.72,400.02
2013-01-03 12:00:00,14.79,400.02
2013-01-03 12:15:00,16.23,400.02
2013-01-03 12:30:00,15.04,400.02
2013-01-03 12:45:00,12.73,400.02
2013-01-03 13:00:00,11.24,400.02
2013-01-03 13:15:00,10.45,400.02
2013-01-03 13:30:00,9.29,400.02
2013-01-03 13:45:00,7.15,400.02
2013-01-03 14:00:00,7.07,400.02
2013-01-03 14:15:00,6.66,400.02
2013-01-03 14:30:00,6.83,400.02
2013-01-03 14:45:00,5.91,400.02
2013-01-03 15:00:00,3.22,400.02
2013-01-03 15:15:00,1.8,400.02
2013-01-03 15:30:00,0.99,400.02
2013-01-03 15:45:00,0.56,400.02
2013-01-03 16:00:00,0.29,400.02
2013-01-03 16:15:00,0.09,400.02
2013-01-03 16:30:00,0.08,400.02
2013-01-03 16:45:00,0.01,400.02
2013-01-03 17:00:00,0.0,400.02
2013-01-03 17:15:00,0.0,400.02
2013-01-03 17:30:00,0.0,400.02
2013-01-03 17:45:00,0.0,400.02
2013-01-04 08:00:00,0.0,400.02
2013-01-04 08:15:00,0.0,400.02
2013-01-04 08:30:00,0.0,400.02
2013-01-04 08:45:00,0.0,400.02
2013-01-04 09:00:00,0.0,400.02
2013-01-04 09:15:00,0.07,400.02
2013-01-04 09:30:00,0.75,400.02
2013-01-04 09:45:00,1.52,400.02
2013-01-04 10:00:00,2.02,400.02
2013-01-04 10:15:00,3.06,400.02
2013-01-04 10:30:00,5.26,400.02
2013-01-04 10:45:00,6.08,400.02
2013-01-04 11:00:00,6.4,400.02
2013-01-04 11:15:00,7.29,400.02
2013-01-04 11:30:00,8.49,400.02
2013-01-04 11:45:00,8.89,400.02
2013-01-04 12:00:00,8.91,400.02
2013-01-04 12:15:00,8.77,400.02
2013-01-04 12:30:00,8.57,400.02
2013-01-04 12:45:00,7.13,400.02
2013-01-04 13:00:00,6.96,400.02
2013-01-04 13:15:00,9.91,400.02
2013-01-04 13:30:00,11.88,400.02
2013-01-04 13:45:00,12.44,400.02
2013-01-04 14:00:00,14.72,400.02
2013-01-04 14:15:00,14.45,400.02
2013-01-04 14:30:00,12.78,400.02
2013-01-04 14:45:00,10.33,400.02
2013-01-04 15:00:00,5.85,400.02
2013-01-04 15:15:00,3.33,400.02
2013-01-04 15:30:00,2.2,400.02
2013-01-04 15:45:00,1.29,400.02
2013-01-04 16:00:00,0.58,400.02
2013-01-04 16:15:00,0.24,400.02
2013-01-04 16:30:00,0.1,400.02
2013-01-04 16:45:00,0.0,400.02
2013-01-04 17:00:00,0.0,400.02
2013-01-04 17:15:00,0.0,400.02
2013-01-04 17:30:00,0.0,400.02
2013-01-04 17:45:00,0.0,400.02
2013-01-05 08:00:00,0.0,400.02
2013-01-05 08:15:00,0.0,400.02
2013-01-05 08:30:00,0.0,400.02
2013-01-05 08:45:00,0.0,400.02
2013-01-05 09:00:00,0.0,400.02
2013-01-05 09:15:00,0.03,400.02
2013-01-05 09:30:00,0.47,400.02
2013-01-05 09:45:00,1.21,400.02
2013-01-05 10:00:00,2.21,400.02
2013-01-05 10:15:00,3.28,400.02
2013-01-05 10:30:00,4.28,400.02
2013-01-05 10:45:00,5.34,400.02
2013-01-05 11:00:00,6.64,400.02
2013-01-05 11:15:00,7.72,400.02
2013-01-05 11:30:00,8.52,400.02
2013-01-05 11:45:00,8.69,400.02
2013-01-05 12:00:00,8.47,400.02
2013-01-05 12:15:00,7.99,400.02
2013-01-05 12:30:00,7.22,400.02
2013-01-05 12:45:00,6.9,400.02
2013-01-05 13:00:00,7.36,400.02
2013-01-05 13:15:00,7.29,400.02
2013-01-05 13:30:00,7.6,400.02
2013-01-05 13:45:00,6.94,400.02
2013-01-05 14:00:00,6.67,400.02
2013-01-05 14:15:00,6.41,400.02
2013-01-05 14:30:00,5.34,400.02
2013-01-05 14:45:00,4.28,400.02
2013-01-05 15:00:00,3.24,400.02
2013-01-05 15:15:00,2.26,400.02
2013-01-05 15:30:00,1.41,400.02
2013-01-05 15:45:00,0.83,400.02
2013-01-05 16:00:00,0.59,400.02
